Year,Zone,Sub Region,District,Division 1 - Boys,Division 1 - Girls,Division 1 - Total,Division 2 - Boys,Division 2 - Girls,Division 2 - Total,Division 3 - Boys,Division 3 - Girls,Division 3 - Total,Division 4 - Boys,Division 4 - Girls,Division 4 - Total,Division U - Boys,Division U - Girls,Division U - Total,Division X - Boys,Division X - Girls,Division X - Total,Registered - Boys,Registered - Girls,Registered - Total,Sat - Boys,Sat - Girls,Sat - Total,Passed - Boys,Passed - Girls,Passed - Total,Pass Rate - Boys,Pass Rate - Girls,Pass Rate - Total,Pass Division 1_2_3 Boys,Pass Division 1_2_3 Girls,Pass Division 1_2_3 Total,Pass Rate Division 1_2_3 Boys,Pass Rate Division 1_2_3 Girls,Pass Rate Division 1_2_3 Total,Pass Rate Division 1 Boys,Pass Rate Division 1 Girls,Pass Rate Division 1 Total,Failure Rate -  Boys,Failure Rate - Girls,Failure Rate - Total,Abseentism Rate - Boys,Abseentism Rate - Girls,Abseentism Rate - Total
2024,Other,South Buganda,Rakai,309,282,591,1534,2098,3632,276,425,701,94,143,237,46,75,121,57,65,122,2316,3088,5404,2259,3023,5282,2213,2948,5161,97.96%,97.52%,97.71%,2119,2805,4924,93.80%,92.79%,93.22%,13.68%,9.33%,11.19%,3.32%,2.48%,2.29%,2.46%,2.10%,2.26%
2024,Other,Kigezi,Rubanda,136,113,249,702,907,1609,330,602,932,134,182,316,89,189,278,24,52,76,1415,2045,3460,1391,1993,3384,1302,1804,3106,93.60%,90.52%,91.78%,1168,1622,2790,83.97%,81.38%,82.45%,9.78%,5.67%,7.36%,13.59%,9.48%,8.22%,1.70%,2.54%,2.20%
2024,Other,Ankole,Rubirizi,341,352,693,857,1019,1876,120,169,289,32,52,84,13,14,27,6,22,28,1369,1628,2997,1363,1606,2969,1350,1592,2942,99.05%,99.13%,99.09%,1318,1540,2858,96.70%,95.89%,96.26%,25.02%,21.92%,23.34%,1.03%,0.87%,0.91%,0.44%,1.35%,0.93%
2024,Other,Kigezi,Rukiga,130,89,219,581,701,1282,176,272,448,47,80,127,22,53,75,12,12,24,968,1207,2175,956,1195,2151,934,1142,2076,97.70%,95.56%,96.51%,887,1062,1949,92.78%,88.87%,90.61%,13.60%,7.45%,10.18%,5.54%,4.44%,3.49%,1.24%,0.99%,1.10%
2024,Other,Kigezi,Rukungiri,624,524,1148,1983,2344,4327,671,1039,1710,167,246,413,81,117,198,37,45,82,3563,4315,7878,3526,4270,7796,3445,4153,7598,97.70%,97.26%,97.46%,3278,3907,7185,92.97%,91.50%,92.16%,17.70%,12.27%,14.73%,3.32%,2.74%,2.54%,1.04%,1.04%,1.04%
2024,Other,Ankole,Rwampara,343,269,612,786,1039,1825,117,186,303,46,66,112,16,21,37,19,16,35,1327,1597,2924,1308,1581,2889,1292,1560,2852,98.78%,98.67%,98.72%,1246,1494,2740,95.26%,94.50%,94.84%,26.22%,17.01%,21.18%,1.61%,1.33%,1.28%,1.43%,1.00%,1.20%
2024,Other,Teso,Serere,43,21,64,1067,929,1996,928,1259,2187,437,643,1080,536,719,1255,21,24,45,3032,3595,6627,3011,3571,6582,2475,2852,5327,82.20%,79.87%,80.93%,2038,2209,4247,67.69%,61.86%,64.52%,1.43%,0.59%,0.97%,23.88%,20.13%,19.07%,0.69%,0.67%,0.68%
2024,Other,Ankole,Sheema,800,634,1434,1807,2057,3864,265,379,644,111,115,226,64,68,132,32,24,56,3079,3277,6356,3047,3253,6300,2983,3185,6168,97.90%,97.91%,97.90%,2872,3070,5942,94.26%,94.37%,94.32%,26.26%,19.49%,22.76%,2.23%,2.09%,2.10%,1.04%,0.73%,0.88%
2024,Other,Elgon,Sironko,81,47,128,865,799,1664,724,1001,1725,380,437,817,378,618,996,30,48,78,2458,2950,5408,2428,2902,5330,2050,2284,4334,84.43%,78.70%,81.31%,1670,1847,3517,68.78%,63.65%,65.98%,3.34%,1.62%,2.40%,25.45%,21.30%,18.69%,1.22%,1.63%,1.44%
2024,Other,Teso,Soroti,230,194,424,1499,1476,2975,982,1292,2274,466,507,973,447,650,1097,23,27,50,3647,4146,7793,3624,4119,7743,3177,3469,6646,87.67%,84.22%,85.83%,2711,2962,5673,74.81%,71.91%,73.27%,6.35%,4.71%,5.48%,17.94%,15.78%,14.17%,0.63%,0.65%,0.64%
2024,Other,South Buganda,Ssembabule,292,217,509,1311,1389,2700,468,762,1230,247,333,580,171,282,453,69,85,154,2558,3068,5626,2489,2983,5472,2318,2701,5019,93.13%,90.55%,91.72%,2071,2368,4439,83.21%,79.38%,81.12%,11.73%,7.27%,9.30%,11.33%,9.45%,8.28%,2.70%,2.77%,2.74%
2024,AZO,West Nile,Terego,42,5,47,1132,335,1467,993,706,1699,575,284,859,323,296,619,45,34,79,3110,1660,4770,3065,1626,4691,2742,1330,4072,89.46%,81.80%,86.80%,2167,1046,3213,70.70%,64.33%,68.49%,1.37%,0.31%,1.00%,9.66%,18.20%,13.20%,1.45%,2.05%,1.66%
2024,KMD,Bukedi,Tororo,316,237,553,2062,1934,3996,1267,1474,2741,560,738,1298,601,765,1366,54,83,137,4860,5231,10091,4806,5148,9954,4205,4383,8588,87.49%,85.14%,86.28%,3645,3645,7290,75.84%,70.80%,73.24%,6.58%,4.60%,5.56%,15.92%,14.86%,13.72%,1.11%,1.59%,1.36%
2024,KMD,South Buganda,Wakiso,7785,7204,14989,19170,22492,41662,3766,5393,9159,1606,2027,3633,1314,1340,2654,366,423,789,34007,38879,72886,33641,38456,72097,32327,37116,69443,96.09%,96.52%,96.32%,30721,35089,65810,91.32%,91.24%,91.28%,23.14%,18.73%,20.79%,3.98%,3.48%,3.68%,1.08%,1.09%,1.08%
2024,AZO,West Nile,Yumbe,56,28,84,1387,691,2078,986,878,1864,567,395,962,370,356,726,39,48,87,3405,2396,5801,3366,2348,5714,2996,1992,4988,89.01%,84.84%,87.29%,2429,1597,4026,72.16%,68.02%,70.46%,1.66%,1.19%,1.47%,10.58%,15.16%,12.71%,1.15%,2.00%,1.50%
2024,MZO,Karamoja,Abim,10,1,11,411,232,643,226,225,451,101,74,175,88,122,210,3,7,10,839,661,1500,836,654,1490,748,532,1280,89.47%,81.35%,85.91%,647,458,1105,77.39%,70.03%,74.16%,1.20%,0.15%,0.74%,14.59%,18.65%,14.09%,0.36%,1.06%,0.67%
2024,AZO,West Nile,Adjumani,104,43,147,1079,572,1651,1022,865,1887,575,435,1010,309,451,760,27,20,47,3116,2386,5502,3089,2366,5455,2780,1915,4695,90.00%,80.94%,86.07%,2205,1480,3685,71.38%,62.55%,67.55%,3.37%,1.82%,2.69%,14.60%,19.06%,13.93%,0.87%,0.84%,0.85%
2024,Other,Acholi,Agago,41,26,67,1002,515,1517,557,555,1112,381,268,649,240,369,609,15,21,36,2236,1754,3990,2221,1733,3954,1981,1364,3345,89.19%,78.71%,84.60%,1600,1096,2696,72.04%,63.24%,68.18%,1.85%,1.50%,1.69%,16.61%,21.29%,15.40%,0.67%,1.20%,0.90%
2024,Other,Lango,Alebtong,38,21,59,773,589,1362,501,583,1084,287,272,559,432,452,884,24,27,51,2055,1944,3999,2031,1917,3948,1599,1465,3064,78.73%,76.42%,77.61%,1312,1193,2505,64.60%,62.23%,63.45%,1.87%,1.10%,1.49%,22.26%,23.58%,22.39%,1.17%,1.39%,1.28%
2024,Other,Lango,Amolatar,41,21,62,620,468,1088,278,304,582,179,192,371,212,241,453,15,6,21,1345,1232,2577,1330,1226,2556,1118,985,2103,84.06%,80.34%,82.28%,939,793,1732,70.60%,64.68%,67.76%,3.08%,1.71%,2.43%,18.12%,19.66%,17.72%,1.12%,0.49%,0.81%
