Year,Zone,Sub Region,District,Division 1 - Boys,Division 1 - Girls,Division 1 - Total,Division 2 - Boys,Division 2 - Girls,Division 2 - Total,Division 3 - Boys,Division 3 - Girls,Division 3 - Total,Division 4 - Boys,Division 4 - Girls,Division 4 - Total,Division U - Boys,Division U - Girls,Division U - Total,Division X - Boys,Division X - Girls,Division X - Total,Registered - Boys,Registered - Girls,Registered - Total,Sat - Boys,Sat - Girls,Sat - Total,Passed - Boys,Passed - Girls,Passed - Total,Pass Rate - Boys,Pass Rate - Girls,Pass Rate - Total,Pass Division 1_2_3 Boys,Pass Division 1_2_3 Girls,Pass Division 1_2_3 Total,Pass Rate Division 1_2_3 Boys,Pass Rate Division 1_2_3 Girls,Pass Rate Division 1_2_3 Total,Pass Rate Division 1 Boys,Pass Rate Division 1 Girls,Pass Rate Division 1 Total,Failure Rate -  Boys,Failure Rate - Girls,Failure Rate - Total,Abseentism Rate - Boys,Abseentism Rate - Girls,Abseentism Rate - Total
2024,Other,South Buganda,Rakai,309,282,591,1534,2098,3632,276,425,701,94,143,237,46,75,121,57,65,122,2316,3088,5404,2259,3023,5282,2213,2948,5161,0.0,0.0,0.0,2119,2805,4924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Other,Kigezi,Rubanda,136,113,249,702,907,1609,330,602,932,134,182,316,89,189,278,24,52,76,1415,2045,3460,1391,1993,3384,1302,1804,3106,0.0,0.0,0.0,1168,1622,2790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Other,Ankole,Rubirizi,341,352,693,857,1019,1876,120,169,289,32,52,84,13,14,27,6,22,28,1369,1628,2997,1363,1606,2969,1350,1592,2942,0.0,0.0,0.0,1318,1540,2858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Other,Kigezi,Rukiga,130,89,219,581,701,1282,176,272,448,47,80,127,22,53,75,12,12,24,968,1207,2175,956,1195,2151,934,1142,2076,0.0,0.0,0.0,887,1062,1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Other,Kigezi,Rukungiri,624,524,1148,1983,2344,4327,671,1039,1710,167,246,413,81,117,198,37,45,82,3563,4315,7878,3526,4270,7796,3445,4153,7598,0.0,0.0,0.0,3278,3907,7185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Other,Ankole,Rwampara,343,269,612,786,1039,1825,117,186,303,46,66,112,16,21,37,19,16,35,1327,1597,2924,1308,1581,2889,1292,1560,2852,0.0,0.0,0.0,1246,1494,2740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Other,Teso,Serere,43,21,64,1067,929,1996,928,1259,2187,437,643,1080,536,719,1255,21,24,45,3032,3595,6627,3011,3571,6582,2475,2852,5327,0.0,0.0,0.0,2038,2209,4247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Other,Ankole,Sheema,800,634,1434,1807,2057,3864,265,379,644,111,115,226,64,68,132,32,24,56,3079,3277,6356,3047,3253,6300,2983,3185,6168,0.0,0.0,0.0,2872,3070,5942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Other,Elgon,Sironko,81,47,128,865,799,1664,724,1001,1725,380,437,817,378,618,996,30,48,78,2458,2950,5408,2428,2902,5330,2050,2284,4334,0.0,0.0,0.0,1670,1847,3517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Other,Teso,Soroti,230,194,424,1499,1476,2975,982,1292,2274,466,507,973,447,650,1097,23,27,50,3647,4146,7793,3624,4119,7743,3177,3469,6646,0.0,0.0,0.0,2711,2962,5673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
